age,economic_status,dist_group,main_mode,share
12 - 18,,10000 - 20000,bike,
12 - 18,,10000 - 20000,car,
12 - 18,,10000 - 20000,pt,
12 - 18,,10000 - 20000,ride,
12 - 18,,10000 - 20000,walk,
12 - 18,,20000+,bike,
12 - 18,,20000+,car,
12 - 18,,20000+,pt,
12 - 18,,20000+,ride,
12 - 18,,20000+,walk,
18 - 25,,0 - 1000,bike,0.023628729068553487
18 - 25,,0 - 1000,car,0.0509727959700864
18 - 25,,0 - 1000,pt,0.0
18 - 25,,0 - 1000,ride,0.06730800660127076
18 - 25,,0 - 1000,walk,0.05570051555128522
18 - 25,,1000 - 2000,bike,0.0026268731883662367
18 - 25,,1000 - 2000,car,0.045163694079610524
18 - 25,,1000 - 2000,pt,0.0018588089679363957
18 - 25,,1000 - 2000,ride,0.008227624942275675
18 - 25,,1000 - 2000,walk,0.045787208794976234
18 - 25,,2000 - 5000,bike,0.0
18 - 25,,2000 - 5000,car,0.15413845753427738
18 - 25,,2000 - 5000,pt,0.01767358089478364
18 - 25,,2000 - 5000,ride,0.023951153220848218
18 - 25,,2000 - 5000,walk,0.009418981413343209
18 - 25,,5000 - 10000,bike,0.002180326452188062
18 - 25,,5000 - 10000,car,0.2956410883664242
18 - 25,,5000 - 10000,pt,0.0
18 - 25,,5000 - 10000,ride,0.0
18 - 25,,5000 - 10000,walk,0.004410446174211738
18 - 25,,10000 - 20000,bike,0.002180326452188062
18 - 25,,10000 - 20000,car,0.04474777480940164
18 - 25,,10000 - 20000,pt,0.019463753587204403
18 - 25,,10000 - 20000,ride,0.0
18 - 25,,10000 - 20000,walk,0.0
18 - 25,,20000+,bike,0.0
18 - 25,,20000+,car,0.12491985393076852
18 - 25,,20000+,pt,0.0
18 - 25,,20000+,ride,0.0
18 - 25,,20000+,walk,0.0
25 - 35,,0 - 1000,bike,0.05155991322568403
25 - 35,,0 - 1000,car,0.02940346396420906
25 - 35,,0 - 1000,pt,0.0
25 - 35,,0 - 1000,ride,0.0
25 - 35,,0 - 1000,walk,0.13793811722547314
25 - 35,,1000 - 2000,bike,0.00734091958509167
25 - 35,,1000 - 2000,car,0.05064064975910667
25 - 35,,1000 - 2000,pt,0.0
25 - 35,,1000 - 2000,ride,0.0
25 - 35,,1000 - 2000,walk,0.007391227373696437
25 - 35,,2000 - 5000,bike,0.0008692454681906939
25 - 35,,2000 - 5000,car,0.21804733449016767
25 - 35,,2000 - 5000,pt,0.0
25 - 35,,2000 - 5000,ride,0.01688102813071631
25 - 35,,2000 - 5000,walk,0.0
25 - 35,,5000 - 10000,bike,0.019907985529930266
25 - 35,,5000 - 10000,car,0.1794390405205994
25 - 35,,5000 - 10000,pt,0.0
25 - 35,,5000 - 10000,ride,0.0062435004571335575
25 - 35,,5000 - 10000,walk,0.0010293513824916702
25 - 35,,10000 - 20000,bike,0.0
25 - 35,,10000 - 20000,car,0.036126615191841495
25 - 35,,10000 - 20000,pt,0.0
25 - 35,,10000 - 20000,ride,0.03133824950229776
25 - 35,,10000 - 20000,walk,0.001604319292314419
25 - 35,,20000+,bike,0.0
25 - 35,,20000+,car,0.12337935273681218
25 - 35,,20000+,pt,0.012165299150001281
25 - 35,,20000+,ride,0.06869438701424221
25 - 35,,20000+,walk,0.0
35 - 66,,0 - 1000,bike,0.05521591477916032
35 - 66,,0 - 1000,car,0.03291030775012274
35 - 66,,0 - 1000,pt,0.0013006264405648785
35 - 66,,0 - 1000,ride,9.601198741017503e-05
35 - 66,,0 - 1000,walk,0.13753164186210207
35 - 66,,1000 - 2000,bike,0.03302689592640806
35 - 66,,1000 - 2000,car,0.055338346414522635
35 - 66,,1000 - 2000,pt,0.0013474008286139694
35 - 66,,1000 - 2000,ride,0.006200285756656349
35 - 66,,1000 - 2000,walk,0.032954940416333955
35 - 66,,2000 - 5000,bike,0.03134893815004003
35 - 66,,2000 - 5000,car,0.15542842616089586
35 - 66,,2000 - 5000,pt,0.004866526258583225
35 - 66,,2000 - 5000,ride,0.018032410978690957
35 - 66,,2000 - 5000,walk,0.012209148022094102
35 - 66,,5000 - 10000,bike,0.00547312959942679
35 - 66,,5000 - 10000,car,0.0918541195950397
35 - 66,,5000 - 10000,pt,0.01736203806835167
35 - 66,,5000 - 10000,ride,0.03407688526547902
35 - 66,,5000 - 10000,walk,0.009419066096745744
35 - 66,,10000 - 20000,bike,0.0026992388500293564
35 - 66,,10000 - 20000,car,0.10623166462574206
35 - 66,,10000 - 20000,pt,0.0072520783683791374
35 - 66,,10000 - 20000,ride,0.014359069762638843
35 - 66,,10000 - 20000,walk,0.0
35 - 66,,20000+,bike,0.002109102757092199
35 - 66,,20000+,car,0.12371843881368494
35 - 66,,20000+,pt,0.0009432073544393029
35 - 66,,20000+,ride,0.006694139110751729
35 - 66,,20000+,walk,0.0
66+,,0 - 1000,bike,0.08996311476788804
66+,,0 - 1000,car,0.033094849261911
66+,,0 - 1000,pt,0.0021490923784345537
66+,,0 - 1000,ride,0.02295994965810904
66+,,0 - 1000,walk,0.2575787709607315
66+,,1000 - 2000,bike,0.0035514016618607464
66+,,1000 - 2000,car,0.010247207739564603
66+,,1000 - 2000,pt,0.038928474608520475
66+,,1000 - 2000,ride,0.0
66+,,1000 - 2000,walk,0.03190855054479069
66+,,2000 - 5000,bike,0.036156401682909046
66+,,2000 - 5000,car,0.07698132112897955
66+,,2000 - 5000,pt,0.04653332577176314
66+,,2000 - 5000,ride,0.04241233610977728
66+,,2000 - 5000,walk,0.025217249789610763
66+,,5000 - 10000,bike,0.016762476294743575
66+,,5000 - 10000,car,0.059790639433165135
66+,,5000 - 10000,pt,0.017783802265883077
66+,,5000 - 10000,ride,0.005252547907894181
66+,,5000 - 10000,walk,0.004080046754010281
66+,,10000 - 20000,bike,0.007477237812485118
66+,,10000 - 20000,car,0.07499737275500735
66+,,10000 - 20000,pt,0.013870515586087259
66+,,10000 - 20000,ride,0.02934437128655692
66+,,10000 - 20000,walk,0.0
66+,,20000+,bike,0.014994460777765128
66+,,20000+,car,0.025914263061886596
66+,,20000+,pt,0.0
66+,,20000+,ride,0.012050219999664736
66+,,20000+,walk,0.0
,very_low,0 - 1000,bike,0.1532158010608138
,very_low,0 - 1000,car,0.0022992229465424972
,very_low,0 - 1000,pt,0.0
,very_low,0 - 1000,ride,0.03743723404808968
,very_low,0 - 1000,walk,0.24416605035309982
,very_low,1000 - 2000,bike,0.010165684107561896
,very_low,1000 - 2000,car,0.055474844571949046
,very_low,1000 - 2000,pt,0.0
,very_low,1000 - 2000,ride,0.01679227909381634
,very_low,1000 - 2000,walk,0.036048668714502054
,very_low,2000 - 5000,bike,0.00195701458886808
,very_low,2000 - 5000,car,0.03718202951888427
,very_low,2000 - 5000,pt,0.0
,very_low,2000 - 5000,ride,0.017829899489206928
,very_low,2000 - 5000,walk,0.01860019184961413
,very_low,5000 - 10000,bike,0.01012127475029992
,very_low,5000 - 10000,car,0.06487202492553155
,very_low,5000 - 10000,pt,0.07066048413214551
,very_low,5000 - 10000,ride,0.08909675734607188
,very_low,5000 - 10000,walk,0.004428275586711176
,very_low,10000 - 20000,bike,0.0
,very_low,10000 - 20000,car,0.0251862199038447
,very_low,10000 - 20000,pt,0.002267077625873906
,very_low,10000 - 20000,ride,0.07113136731886273
,very_low,10000 - 20000,walk,0.0
,very_low,20000+,bike,0.0
,very_low,20000+,car,0.031067598067710082
,very_low,20000+,pt,0.0
,very_low,20000+,ride,0.0
,very_low,20000+,walk,0.0
,low,0 - 1000,bike,0.0196760051504376
,low,0 - 1000,car,0.02902912226607395
,low,0 - 1000,pt,0.0
,low,0 - 1000,ride,0.043838736889225995
,low,0 - 1000,walk,0.203987900430012
,low,1000 - 2000,bike,0.0012606939749368246
,low,1000 - 2000,car,0.020909193514941436
,low,1000 - 2000,pt,0.028325839466482206
,low,1000 - 2000,ride,0.0
,low,1000 - 2000,walk,0.05103790341439842
,low,2000 - 5000,bike,0.021395181328414455
,low,2000 - 5000,car,0.11458194569966466
,low,2000 - 5000,pt,0.020198639756178433
,low,2000 - 5000,ride,0.015237395325772105
,low,2000 - 5000,walk,0.03562454824847543
,low,5000 - 10000,bike,0.002644965095335015
,low,5000 - 10000,car,0.1153231443022159
,low,5000 - 10000,pt,0.014406782791496051
,low,5000 - 10000,ride,0.03275498205334363
,low,5000 - 10000,walk,0.01127037355667964
,low,10000 - 20000,bike,0.0050430067614131244
,low,10000 - 20000,car,0.11257598181811466
,low,10000 - 20000,pt,0.03155768138849295
,low,10000 - 20000,ride,0.006216681509679064
,low,10000 - 20000,walk,0.0
,low,20000+,bike,0.00995357862548733
,low,20000+,car,0.037246786798481944
,low,20000+,pt,0.008219691423412924
,low,20000+,ride,0.007683238410834419
,low,20000+,walk,0.0
,medium,0 - 1000,bike,0.06300190405343134
,medium,0 - 1000,car,0.02494604812703637
,medium,0 - 1000,pt,0.0020462680104455667
,medium,0 - 1000,ride,0.008119978745958954
,medium,0 - 1000,walk,0.14654998631682875
,medium,1000 - 2000,bike,0.030830795362573382
,medium,1000 - 2000,car,0.041911032104670426
,medium,1000 - 2000,pt,0.0018127826809055151
,medium,1000 - 2000,ride,0.015511902827120463
,medium,1000 - 2000,walk,0.028513215726045062
,medium,2000 - 5000,bike,0.023720339845668167
,medium,2000 - 5000,car,0.15739466891350515
,medium,2000 - 5000,pt,0.010608541185101725
,medium,2000 - 5000,ride,0.03880510346799283
,medium,2000 - 5000,walk,0.015831627715856677
,medium,5000 - 10000,bike,0.014309687263366521
,medium,5000 - 10000,car,0.11498642983864431
,medium,5000 - 10000,pt,0.0026495681031093363
,medium,5000 - 10000,ride,0.0175076002265085
,medium,5000 - 10000,walk,0.003421461062573791
,medium,10000 - 20000,bike,0.0031041989149803027
,medium,10000 - 20000,car,0.07284910443303544
,medium,10000 - 20000,pt,0.011494005595994542
,medium,10000 - 20000,ride,0.013323325617900582
,medium,10000 - 20000,walk,0.0
,medium,20000+,bike,0.00043073779348276863
,medium,20000+,car,0.11500699389312388
,medium,20000+,pt,0.0008016637564945563
,medium,20000+,ride,0.02051102841764511
,medium,20000+,walk,0.0
,high,0 - 1000,bike,0.014414229840746558
,high,0 - 1000,car,0.06682180229718465
,high,0 - 1000,pt,0.0
,high,0 - 1000,ride,0.010449433548602392
,high,0 - 1000,walk,0.05664303199739918
,high,1000 - 2000,bike,0.01085380802477583
,high,1000 - 2000,car,0.05759209320059677
,high,1000 - 2000,pt,0.0
,high,1000 - 2000,ride,0.02799037577983742
,high,1000 - 2000,walk,0.007464625767411693
,high,2000 - 5000,bike,0.04439384384338453
,high,2000 - 5000,car,0.14495017848884723
,high,2000 - 5000,pt,0.014387613853785982
,high,2000 - 5000,ride,0.04305883377108926
,high,2000 - 5000,walk,0.015147780802465219
,high,5000 - 10000,bike,0.016264173481386875
,high,5000 - 10000,car,0.13048730077454793
,high,5000 - 10000,pt,0.003988150691210621
,high,5000 - 10000,ride,0.014406014685132227
,high,5000 - 10000,walk,0.009743041051192577
,high,10000 - 20000,bike,0.0021943542456351987
,high,10000 - 20000,car,0.07718946953694708
,high,10000 - 20000,pt,0.010116263202447193
,high,10000 - 20000,ride,0.013478806666944308
,high,10000 - 20000,walk,0.0009668579540749592
,high,20000+,bike,0.005252208448517857
,high,20000+,car,0.15437673296803223
,high,20000+,pt,0.008695068694669095
,high,20000+,ride,0.038673906383135136
,high,20000+,walk,0.0
,very_high,0 - 1000,bike,0.016488297190040684
,very_high,0 - 1000,car,0.008237168359539967
,very_high,0 - 1000,pt,0.009258723235006186
,very_high,0 - 1000,ride,0.04139259894777343
,very_high,0 - 1000,walk,0.012047068679416168
,very_high,1000 - 2000,bike,0.032853716527926534
,very_high,1000 - 2000,car,0.010643861036026697
,very_high,1000 - 2000,pt,0.007535327737950974
,very_high,1000 - 2000,ride,0.0
,very_high,1000 - 2000,walk,0.015070655475901949
,very_high,2000 - 5000,bike,0.02893005603516004
,very_high,2000 - 5000,car,0.283424270226448
,very_high,2000 - 5000,pt,0.0
,very_high,2000 - 5000,ride,0.153781762462469
,very_high,2000 - 5000,walk,0.0007356547766904847
,very_high,5000 - 10000,bike,0.003422965816339796
,very_high,5000 - 10000,car,0.12262299811175442
,very_high,5000 - 10000,pt,0.011660134175879763
,very_high,5000 - 10000,ride,0.005835757418666393
,very_high,5000 - 10000,walk,0.0
,very_high,10000 - 20000,bike,0.0
,very_high,10000 - 20000,car,0.07820627918213571
,very_high,10000 - 20000,pt,0.015070655475901949
,very_high,10000 - 20000,ride,0.0674310273414233
,very_high,10000 - 20000,walk,0.0
,very_high,20000+,bike,0.0
,very_high,20000+,car,0.07535102178754859
,very_high,20000+,pt,0.0
,very_high,20000+,ride,0.0
,very_high,20000+,walk,0.0
